Majority_code,booked_days,order_price_paid,sum_kids,sum_adults,private,group,family,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18
2,1.8571428571428572,0.6423936507936507,0.08775510204081632,0.9122448979591836,0.41566517440786244,0.28942301809358445,0.2949118074985531,0.0516128597638353,0.05280172642475701,0.055954127114261336,0.049235126441991885,0.05684959499075303,0.049235126441991885,0.054279354235617264,0.0599617541062753,0.06452471331666979,0.07789742724956163,0.06333584665574807,0.049235126441991885,0.049235126441991885,0.06504622347388274,0.049235126441991885,0.049235126441991885,0.05052024681955977,0.05180536719712766
12,0.0,1.2145,0.0,1.0,0.3909656220855037,0.3909656220855037,0.2180687558289926,0.06526856776617244,0.06396383999240095,0.06396383999240095,0.04654391785665554,0.08420448593909519,0.04654391785665554,0.04654391785665554,0.08268848990191785,0.06396383999240095,0.04654391785665554,0.04654391785665554,0.04654391785665554,0.04654391785665554,0.04654391785665554,0.04654391785665554,0.04654391785665554,0.06396383999240095,0.04654391785665554
13,2.8035363457760316,0.7593960707269155,0.1056670408831509,0.8943329591168491,0.41508286669102884,0.27989042509949363,0.3050267082094776,0.05724427901717611,0.053300650663941185,0.05592577001328045,0.04957732162732252,0.05902046398897817,0.04971421688968595,0.055518644056424094,0.058348034118129576,0.05584318865652958,0.07686290531822881,0.054539358451122046,0.04957732162732252,0.051327004184600615,0.06970511303845481,0.04957732162732252,0.04957732162732252,0.05253689475757318,0.051804190336585544
15,0.0,1.078,0.5,0.5,0.2180687558289926,0.2180687558289926,0.5638624883420148,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796
17,0.0,0.26,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796
19,3.7777777777777777,0.6640444444444444,0.16666666666666666,0.8333333333333334,0.29491180749855306,0.3333333333333333,0.37175485916811357,0.0502078241662981,0.05852989079275006,0.0502078241662981,0.0502078241662981,0.059203666809273324,0.0502078241662981,0.0502078241662981,0.05852989079275006,0.05852989079275006,0.059203666809273324,0.05852989079275006,0.0502078241662981,0.0502078241662981,0.07719535209522375,0.0502078241662981,0.0502078241662981,0.059203666809273324,0.059203666809273324
20,0.3076923076923077,0.828,0.05128205128205128,0.9487179487179487,0.4308648989139294,0.29786730948584383,0.2712677916002268,0.05021613381812126,0.05021613381812126,0.05021613381812126,0.05021613381812126,0.074259783041453,0.05021613381812126,0.05021613381812126,0.061804000920410385,0.0613375406012789,0.06889980699968518,0.055977564559511084,0.05021613381812126,0.05021613381812126,0.07512769806020649,0.05021613381812126,0.05021613381812126,0.05021613381812126,0.05021613381812126
22,17.25,0.965,0.08333333333333333,0.9166666666666666,0.47741405521375924,0.2180687558289926,0.30451718895724816,0.047499954182896625,0.06491987631864204,0.08233979845438744,0.047499954182896625,0.08798124607628512,0.047499954182896625,0.047499954182896625,0.047499954182896625,0.047499954182896625,0.06491987631864203,0.047499954182896625,0.047499954182896625,0.047499954182896625,0.06491987631864203,0.047499954182896625,0.047499954182896625,0.06491987631864204,0.047499954182896625
23,1.8571428571428572,0.8585285714285715,0.25,0.75,0.3415665174407862,0.2674678604737101,0.3909656220855037,0.05613438097214677,0.05078448099799908,0.05078448099799908,0.05078448099799908,0.05656752269705457,0.05078448099799908,0.05613438097214677,0.05078448099799908,0.05078448099799908,0.05656752269705457,0.05078448099799908,0.05078448099799908,0.05078448099799908,0.10861489798855406,0.05078448099799908,0.05078448099799908,0.056567522697054576,0.05078448099799908
28,0.0,1.1233333333333333,0.2736842105263158,0.7263157894736842,0.3333333333333333,0.21806875582899257,0.4485979108376741,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.07474911901176906,0.07677044706133883,0.07474911901176906,0.04978291913241317,0.04978291913241317,0.07677044706133883,0.04978291913241317,0.04978291913241317,0.04978291913241317,0.04978291913241317
31,0.0,0.27266666666666667,0.0,1.0,0.5638624883420148,0.21806875582899257,0.21806875582899257,0.048685847533287065,0.048685847533287065,0.0719124103809476,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.12588746623879893,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.0719124103809476,0.048685847533287065,0.048685847533287065,0.048685847533287065,0.048685847533287065
33,0.0,0.3794,0.3333333333333333,0.6666666666666666,0.2180687558289926,0.2180687558289926,0.5638624883420148,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796
35,31.0,0.3,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.12213208856717125,0.047233488929103604,0.12213208856717125,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604
36,0.0,0.21,0.25,0.75,0.3909656220855037,0.2180687558289926,0.3909656220855037,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.08659486140061962,0.08659486140061962,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.08962685347497427,0.049145561581585784,0.049145561581585784,0.049145561581585784,0.049145561581585784
38,2.645077720207254,0.6380113989637306,0.05842585738958796,0.9415741426104121,0.45815352348052096,0.2700273995744726,0.2718190769450064,0.05667572781061465,0.052111646493251874,0.05439076927973719,0.0496567572709217,0.06022125521911272,0.0496567572709217,0.05797363349004368,0.05854155099447742,0.05826677484568147,0.07367108418456053,0.0569490715706006,0.0496567572709217,0.052593224040390296,0.06339345049142045,0.0496567572709217,0.0496567572709217,0.056012782196235456,0.05091524302926538
