platform,booked_days,order_price_paid,sum_kids,sum_adults,private,group,family,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18
-1,0.0,0.05399999999999999,0.16666666666666666,0.8333333333333333,0.3909656220855037,0.2180687558289926,0.3909656220855037,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796
0,1.6646608315098468,0.620004704595186,0.09120613541320671,0.9087938645867933,0.42236702230276935,0.2786015755249265,0.2990314021723041,0.054686570331513196,0.053437710608313434,0.055561901395147946,0.04978710297974917,0.060291629283200504,0.050308331727514234,0.05627042569552428,0.05809037850808626,0.055741145886142235,0.07490543317654406,0.05451813148826231,0.04978710297974917,0.050540037292864715,0.06418719177807578,0.04983139323346185,0.04978710297974917,0.059469570423890554,0.05279884023221133
1,9.571428571428571,0.7059142857142857,0.23809523809523808,0.7619047619047619,0.366266069763145,0.2180687558289926,0.41566517440786244,0.06980183469962505,0.04840223480303428,0.05835647602346023,0.04840223480303428,0.05996831820114528,0.04840223480303428,0.04840223480303428,0.08050163464792041,0.059102034751329656,0.06992255942157123,0.04840223480303428,0.04840223480303428,0.04840223480303428,0.05835647602346023,0.04840223480303428,0.04840223480303428,0.04840223480303428,0.05996831820114528
2,7.0,0.8702399999999999,0.06666666666666667,0.9333333333333332,0.28722750233159705,0.42554499533680595,0.28722750233159705,0.06308462401922721,0.048104904091613686,0.048104904091613686,0.048104904091613686,0.06308462401922722,0.06308462401922722,0.048104904091613686,0.09321307848517893,0.06204084180021001,0.048104904091613686,0.06204084180021001,0.048104904091613686,0.048104904091613686,0.048104904091613686,0.048104904091613686,0.048104904091613686,0.048104904091613686,0.06429742084896908
3,4.181818181818182,0.7657396694214876,0.08823297914207004,0.91176702085793,0.40954131846017017,0.2938004410487867,0.2966582404910431,0.05692712392111037,0.05301206796400363,0.05504916189332576,0.04944904805494904,0.06393290812662503,0.04944904805494904,0.05540468997878959,0.06147923055071244,0.060065832668095766,0.06656622568077396,0.05736661055089633,0.04944904805494904,0.05112182871170063,0.06288610823592046,0.04944904805494904,0.04944904805494904,0.05915936725700169,0.04978360418629936
4,6.605025125628141,0.6553447236180905,0.11926626277128789,0.8807337372287121,0.3890541994434719,0.28375218843699385,0.3271936121195343,0.05399099611407277,0.05246140763873915,0.058518986203242716,0.0494309871287676,0.058220322268437416,0.04972159675325213,0.05183155035933634,0.056973916753864685,0.05645098128780206,0.06613961237038792,0.05537430803793254,0.0494309871287676,0.049675095421592055,0.06679056781791978,0.049512356559709085,0.0494309871287676,0.0755565512964018,0.0504887897310069
5,2.5692307692307694,0.72602,0.09417637917637918,0.9058236208236209,0.4095852846054357,0.29786730948584383,0.29254740590872047,0.059772077685619644,0.05210863471806217,0.05310033898649134,0.04988435336143065,0.06154376337267044,0.04988435336143065,0.05454014398645565,0.05920893573538256,0.05556549316289607,0.07320317338391022,0.0544934979545425,0.04988435336143065,0.05175272067958704,0.06635249321733679,0.04988435336143065,0.04988435336143065,0.05531587231214913,0.053621087997743434
6,1.567157712305026,0.5708487868284229,0.10309500086705231,0.8969049991329477,0.4147876339873973,0.27754887359661384,0.30766349241598884,0.053975215904969814,0.05266193319381895,0.05411223820570092,0.04999997407923753,0.061003887972864664,0.05009506805142952,0.055701465948094865,0.056711713409651664,0.05656329097670759,0.06831411042896701,0.05511084719131193,0.05003505318833058,0.051368059333866775,0.06249097831951946,0.04999997407923753,0.04999997407923753,0.07048815630318711,0.051368059333866775
