platform,booked_days,order_price_paid,sum_kids,sum_adults,private,group,family,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18
-1,0.0,0.05399999999999999,0.16666666666666666,0.8333333333333333,0.3940292211914573,0.21194155761708547,0.3940292211914573,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.05071435780762185,0.13785591727042856,0.05071435780762185
0,1.6646608315098468,0.620004704595186,0.09120613541320671,0.9087938645867933,0.42709984717980054,0.275692161931964,0.2972079908882355,0.05461272630216132,0.05326310554969133,0.05552172290650089,0.04936734030635197,0.0606614857317826,0.04992436575610451,0.05632666430748186,0.05826063984883068,0.055731838211031455,0.07636899648577102,0.054426125144265466,0.04936734030635197,0.05017773774118113,0.06483275064879113,0.04941501074369486,0.04936734030635197,0.059765879657987284,0.05260893004566863
1,9.571428571428571,0.7059142857142857,0.23809523809523808,0.7619047619047619,0.3680166978236899,0.21194155761708547,0.4200417445592247,0.07079879433143814,0.047896911682183595,0.05849809806418844,0.047896911682183595,0.06034570589115599,0.047896911682183595,0.047896911682183595,0.08224973565606541,0.05934785300681087,0.07094689227316082,0.047896911682183595,0.047896911682183595,0.047896911682183595,0.05849809806418844,0.047896911682183595,0.047896911682183595,0.047896911682183595,0.06034570589115599
2,7.0,0.8702399999999999,0.06666666666666667,0.9333333333333332,0.2847766230468342,0.43044675390633164,0.28477662304683415,0.0636142690762862,0.047582951221808015,0.047582951221808015,0.047582951221808015,0.0636142690762862,0.0636142690762862,0.047582951221808015,0.09588424190365433,0.0624246121566148,0.047582951221808015,0.0624246121566148,0.047582951221808015,0.047582951221808015,0.047582951221808015,0.047582951221808015,0.047582951221808015,0.047582951221808015,0.06501126311436936
3,4.181818181818182,0.7657396694214876,0.08823297914207004,0.91176702085793,0.4135923586002741,0.29169896397610784,0.2947086774236181,0.05701506093246748,0.05281056918107069,0.05498167007907315,0.04900792009396246,0.06458034016349788,0.04900792009396246,0.055387796568122274,0.06188196524674174,0.060355018352433995,0.06741189349616623,0.05747230692657412,0.04900792009396246,0.05080836553740888,0.0634509135205841,0.04900792009396246,0.04900792009396246,0.05943649034339548,0.049368009182651745
4,6.605025125628141,0.6553447236180905,0.11926626277128789,0.8807337372287121,0.3920161917449065,0.28111656950765085,0.3268672387474428,0.05387448102278256,0.05222477529535851,0.058673577190470644,0.048990735461708776,0.058439374574361776,0.04930101665557093,0.05156529720998886,0.05706020933267101,0.05649442276413913,0.06689680837935193,0.05534581372584537,0.048990735461708776,0.049253473831948384,0.06759744403332424,0.0490783149184553,0.048990735461708776,0.07709351628119132,0.050129268399413784
5,2.5692307692307694,0.72602,0.09417637917637918,0.9058236208236209,0.41363866188408194,0.295982017728334,0.29037932038758413,0.06005889538483675,0.05184426330700115,0.05289441746201157,0.04946941878474846,0.062006519709485244,0.04946941878474846,0.05445586251066802,0.05945825524569618,0.055543798196496116,0.07454362063422204,0.05440213197074174,0.04946941878474846,0.05148037784927477,0.06717010406429223,0.04946941878474846,0.04946941878474846,0.05530332282773088,0.05349133691380108
6,1.567157712305026,0.5708487868284229,0.10309500086705231,0.8969049991329477,0.4191175561206818,0.27458350080514926,0.30629894307416894,0.053848536584582836,0.05243274978100962,0.05397517435416433,0.04959288216605326,0.06142837370097586,0.04969449459379105,0.05571501352040819,0.056776859059743064,0.05660851765452524,0.06928284740360477,0.05505688391563805,0.04963063847431271,0.05106537818817175,0.06301530023253636,0.04959288216605326,0.04959288216605326,0.0716252078502047,0.05106537818817175
